STATION,SOURCE,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity,HourlyVisibility,HourlyWindSpeed,SOURCE.1
8449013025,4.0,30.42,41.0,45.0,87.0,6.15,1.0,4.0
8449013025,4.0,30.39,41.0,43.0,93.0,6.15,0.0,4.0
8449013025,4.0,30.39,41.0,43.0,93.0,6.15,5.0,4.0
8449013025,4.0,30.39,37.0,41.0,87.0,4.97,3.0,4.0
8449013025,4.0,30.39,37.0,41.0,87.0,4.97,7.0,4.0
8449013025,4.0,30.36,37.0,41.0,87.0,6.15,5.0,4.0
8449013025,4.0,30.36,37.0,41.0,87.0,6.15,5.0,4.0
8449013025,4.0,30.36,37.0,41.0,87.0,6.15,6.0,4.0
8449013025,4.0,30.39,36.0,39.0,87.0,6.15,7.0,4.0
8449013025,4.0,30.39,36.0,37.0,93.0,4.97,3.0,4.0
8449013025,4.0,30.42,41.0,45.0,87.0,6.15,7.0,4.0
8449013025,4.0,30.42,45.0,50.0,82.0,6.15,3.0,4.0
8449013025,4.0,30.42,50.0,57.0,77.0,6.15,8.0,4.0
8449013025,4.0,30.39,50.0,57.0,77.0,6.15,7.0,4.0
8449013025,4.0,30.36,48.0,59.0,68.0,6.15,5.0,4.0
8449013025,4.0,30.36,48.0,59.0,68.0,6.15,8.0,4.0
8449013025,4.0,30.36,50.0,57.0,77.0,6.15,10.0,4.0
8449013025,4.0,30.36,50.0,57.0,77.0,6.15,9.0,4.0
8449013025,4.0,30.39,50.0,55.0,82.0,6.15,9.0,4.0
8449013025,4.0,30.39,50.0,52.0,94.0,5.59,5.0,4.0
8449013025,4.0,30.42,50.0,52.0,94.0,6.15,3.0,4.0
8449013025,4.0,30.42,52.0,54.0,94.0,7.0,0.0,4.0
8449013025,4.0,30.42,48.0,50.0,94.0,7.0,2.0,4.0
8449013025,4.0,30.45,50.0,52.0,94.0,7.0,0.0,4.0
8449013025,4.0,30.45,50.0,52.0,94.0,7.0,0.0,4.0
8449013025,4.0,30.45,50.0,52.0,94.0,7.0,1.0,4.0
8449013025,4.0,30.42,50.0,52.0,94.0,7.0,3.0,4.0
8449013025,4.0,30.45,50.0,54.0,88.0,7.0,2.0,4.0
8449013025,4.0,30.45,48.0,52.0,88.0,7.0,0.0,4.0
8449013025,4.0,30.45,48.0,52.0,88.0,7.0,0.0,4.0
8449013025,4.0,30.42,48.0,52.0,88.0,7.0,0.0,4.0
8449013025,4.0,30.45,46.0,50.0,88.0,7.0,1.0,4.0
8449013025,4.0,30.45,46.0,48.0,94.0,7.0,2.0,4.0
8449013025,4.0,30.47,45.0,48.0,87.0,7.0,1.0,4.0
8449013025,4.0,30.47,52.0,55.0,88.0,7.0,2.0,4.0
8449013025,4.0,30.53,54.0,57.0,88.0,7.0,0.0,4.0
8449013025,4.0,30.53,54.0,59.0,82.0,7.0,2.0,4.0
8449013025,4.0,30.5,55.0,57.0,94.0,4.97,6.0,4.0
8449013025,4.0,30.5,55.0,59.0,88.0,7.0,3.0,4.0
8449013025,4.0,30.47,55.0,63.0,77.0,7.0,8.0,4.0
8449013025,4.0,30.47,55.0,61.0,83.0,7.0,7.0,4.0
8449013025,4.0,30.47,55.0,61.0,83.0,7.0,7.0,4.0
8449013025,4.0,30.47,55.0,59.0,88.0,7.0,7.0,4.0
8449013025,4.0,30.5,55.0,57.0,94.0,7.0,5.0,4.0
8449013025,4.0,30.5,54.0,55.0,94.0,7.0,7.0,4.0
8449013025,4.0,30.53,54.0,55.0,94.0,6.15,7.0,4.0
8449013025,4.0,30.53,52.0,54.0,94.0,6.15,7.0,4.0
8449013025,4.0,30.53,48.0,50.0,94.0,6.15,8.0,4.0
8449013025,4.0,30.53,46.0,48.0,94.0,6.15,5.0,4.0
8449013025,4.0,30.53,45.0,46.0,93.0,6.15,7.0,4.0
8449013025,4.0,30.5,43.0,46.0,87.0,6.15,5.0,4.0
8449013025,4.0,30.5,43.0,46.0,87.0,6.15,7.0,4.0
8449013025,4.0,30.5,41.0,45.0,87.0,6.15,6.0,4.0
8449013025,4.0,30.47,41.0,45.0,87.0,6.15,8.0,4.0
8449013025,4.0,30.47,41.0,45.0,87.0,6.15,8.0,4.0
8449013025,4.0,30.47,41.0,43.0,93.0,6.15,9.0,4.0
8449013025,4.0,30.47,39.0,41.0,93.0,6.15,8.0,4.0
8449013025,4.0,30.5,39.0,41.0,93.0,6.15,10.0,4.0
8449013025,4.0,30.53,41.0,45.0,87.0,6.15,10.0,4.0
8449013025,4.0,30.53,45.0,50.0,82.0,6.15,9.0,4.0
8449013025,4.0,30.5,46.0,57.0,67.0,6.15,11.0,4.0
8449013025,4.0,30.5,46.0,59.0,63.0,6.15,11.0,4.0
8449013025,4.0,30.47,45.0,61.0,55.0,6.15,11.0,4.0
8449013025,4.0,30.45,45.0,63.0,52.0,6.15,11.0,4.0
8449013025,4.0,30.45,45.0,63.0,52.0,6.15,11.0,4.0
8449013025,4.0,30.45,46.0,61.0,59.0,6.15,9.0,4.0
8449013025,4.0,30.45,46.0,59.0,63.0,6.15,5.0,4.0
8449013025,4.0,30.45,46.0,54.0,77.0,6.15,1.0,4.0
8449013025,4.0,30.45,43.0,50.0,76.0,6.15,2.0,4.0
8449013025,4.0,30.47,43.0,50.0,76.0,6.15,2.0,4.0
8449013025,4.0,30.47,41.0,46.0,82.0,6.15,3.0,4.0
8449013025,4.0,30.47,41.0,46.0,82.0,6.15,6.0,4.0
8449013025,4.0,30.47,43.0,46.0,87.0,6.15,3.0,4.0
8449013025,4.0,30.47,41.0,46.0,82.0,6.15,7.0,4.0
8449013025,4.0,30.47,41.0,45.0,87.0,6.15,6.0,4.0
8449013025,4.0,30.47,41.0,45.0,87.0,6.15,5.0,4.0
8449013025,4.0,30.47,41.0,45.0,87.0,6.15,13.0,4.0
8449013025,4.0,30.47,39.0,45.0,81.0,6.15,10.0,4.0
8449013025,4.0,30.45,37.0,41.0,87.0,6.15,8.0,4.0
8449013025,4.0,30.47,37.0,41.0,87.0,6.15,9.0,4.0
8449013025,4.0,30.47,39.0,43.0,87.0,6.15,8.0,4.0
